Book,Author,Published,Fiction/Nonfiction,Year Read,Rating
"This Machine Kills Secrets: Julian Assange, the Cypherpunks, and Their Fight to Empower Whistleblowers",Andy Greenberg,2012,Non-Fiction,2022,4
"Guards! Guards! [Discworld #8, City Watch #1]",Terry Prachett,1989,Fiction,2022,4
"The Oxygen Advantage: Simple, Scientifically Proven Breathing Techniques to Help You Become Healthier, Slimmer, Faster, and Fitter
",Patrick McKeon,2016,Non-Fiction,2022,2
The Machine Stops,E. M. Foster,1909,Fiction,2022,3
The Tiger: A True Story of Vengence and Survival,John Vaillant,2010,Non-Fiction,2022,3
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,2017,Non-Fiction,2022,5
Flash Boys: A Wall Street Revolt,Michael Lewis,2014,Non-Fiction,2022,4
Breath - The New Science of a Lost Art,James Nestor,2020,Non-Fiction,2022,5
The Immortal Game: A History of Chess,David Shenk,2007,Non-Fiction,2022,4
Twenty Thousand Leagues Under The Sea,Jules Verne,1870,Fiction,2022,3
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,Fiction,2021,3
The Time Machine,H. G. Wells,1895,Fiction,2021,3
The Practicing Stoic - A Philosophical User's Manual,Ward Farnsworth,2018,Non-Fiction,2021,4
The Rum Diary,Hunter S. Thompson,1998,Fiction,2021,2
Do Androids Dream of Electric Sheep?,Philip K. Dick,1968,Fiction,2021,3
Project Hail Mary,Andy Weir,2021,Fiction,2021,3
Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,David Kushner,2003,Non-Fiction,2021,4
Snow Crash,Neal Stephenson,1992,Fiction,2021,4
Weapons of Chess,Bruce Pandolfini,1989,Non-Fiction,2021,3
This Is How They Tell Me The World Ends - The Cyber-Weapons Arms Race,Nicole Perlroth,2021,Non-Fiction,2021,4
Preparedness Guide for the Camino de Santiago,Matthew A. Toy,2014,Non-Fiction,2021,3
Sandworm - A New Era of Cyberwar and the Hunt for the Kremlin's Most Dangerous Hackers,Andy Greenberg,2019,Non-Fiction,2021,3
Factotum,Charles Bukowski,1975,Fiction,2021,3
Moonraker [James Bond #3],Ian Fleming,1955,Fiction,2021,3
Shadow Divers - The True Adventure of Two Americans Who Risked Everything to Solve One of the Last Mysteries of World War II,Robert Kurson,2004,Non-Fiction,2021,4
Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon,Kim Zetter,2014,Non-Fiction,2021,3
DUNE,Frank Herbert,1965,Fiction,2021,3
Roadside Picnic,Arkady & Boris Strugatsky,1972,Fiction,2021,3
Range - Why Generalists Triumph In A Specialized World ,David Epstein,2019,Non-Fiction,2021,3
Foundation,Issac Asimov,1951,Fiction,2021,2
Head First JavaScript Programming,Elisabeth Robson & Eric Freeman,2014,Non-Fiction,2021,4
where wizards stay up late - the origins of the internet,Katie Hafner and Matthew Lyon,1996,Non-Fiction,2021,4
Dark Pools - The Rise of the Machine Traders and the Rigging of the U.S. Stock Market,Scott Petterson,2012,Non-Fiction,2021,4
A Study In Scarlet [Sherlock Holmes #1],Sir Arthur Conan Doyle,1887,Fiction,2021,3
Cult of the Dead Cow: How the Original Hacking Supergroup Might Just Save the World,Joseph Menn,2019,Non-Fiction,2021,3
The Blocksize War: The battle over who controls Bitcoin's protocol rules,Jonathan Bier,2021,Non-Fiction,2021,4
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,2016,Non-Fiction,2021,4
The Soul Of A New Machine,Tracy Kidder,1981,Non-Fiction,2021,4
Mindset: The New Psychology of Success - How We Can Learn to Fulfill Our Potential,"Carol S. Dweck, Ph. D.",2006,Non-Fiction,2021,5
